EmailAttachments,URLCount,SenderReputation,SuspiciousKeywords,EmailSize,LinkEntropy,DomainRiskScore,AccountAge,PhishingLabel
2,0,91,1,467.27,2.986,0.408,11,0
1,2,128,3,91.58,1.22,0.674,20,0
0,7,46,7,93.12,0.906,0.574,8,1
1,2,98,0,264.22,2.399,0.619,92,0
1,6,159,0,314.65,1.196,0.567,85,0
0,9,97,7,241.65,0.797,0.798,102,1
1,9,36,5,196.9,2.345,0.32,38,1
1,8,103,5,338.45,1.644,0.708,6,1
1,7,0,3,50.94,3.147,0.991,2,1
2,0,166,2,485.63,1.6,0.39,74,0
3,6,177,1,154.44,3.926,0.791,106,1
1,6,177,7,0.0,0.0,0.246,73,1
2,7,172,0,99.06,0.702,0.282,55,0
4,9,107,7,157.14,2.281,0.935,3,1
2,4,93,1,155.69,2.469,0.026,66,0
0,9,146,3,498.27,0.0,0.217,100,1
2,8,121,2,52.07,2.242,0.483,72,0
3,8,115,6,337.84,2.192,0.402,73,1
1,7,182,1,0.0,1.788,0.629,26,0
1,5,70,7,352.52,1.45,0.193,98,1
1,5,120,2,213.23,3.812,0.071,48,0
2,0,90,6,481.24,1.612,0.369,94,0
4,5,90,0,452.08,0.722,0.524,102,0
4,3,174,1,245.28,1.085,0.562,8,0
1,3,29,4,0.0,3.5,0.601,67,1
1,1,116,0,485.38,2.553,0.549,75,0
6,3,190,2,0.0,0.0,0.246,89,0
1,4,153,3,252.42,3.331,0.765,116,0
2,4,25,4,431.31,3.381,0.088,69,1
0,4,96,5,185.89,2.427,0.198,76,0
1,3,195,1,217.32,1.12,0.739,119,0
3,0,96,7,124.17,1.019,0.28,30,0
4,9,21,5,144.13,2.509,0.493,27,1
3,7,70,0,345.59,1.783,0.327,43,1
2,2,166,7,279.85,2.453,0.507,5,0
0,0,140,1,154.01,2.245,0.347,20,0
1,8,147,1,231.31,2.608,0.994,52,1
1,6,21,4,217.93,0.612,0.357,21,1
3,8,0,4,494.31,0.615,0.627,3,1
4,1,173,4,0.0,3.026,0.888,41,1
1,8,89,4,224.58,1.176,0.638,114,1
1,9,39,3,461.26,2.783,0.566,64,1
1,8,42,7,204.19,2.413,0.569,108,1
1,8,73,7,350.56,3.936,0.496,119,1
2,9,162,0,484.99,3.424,0.808,68,1
2,9,153,4,225.63,1.946,0.05,88,1
2,3,182,0,355.95,2.657,0.885,71,0
3,9,155,7,183.17,0.911,0.586,24,1
1,0,0,1,169.84,1.852,0.849,52,0
2,5,197,5,0.0,3.069,0.01,75,1
1,2,196,4,490.67,2.679,0.869,2,1
2,8,134,0,253.91,2.196,0.12,119,0
1,2,168,3,471.94,1.118,0.721,44,0
1,1,142,0,461.46,3.311,0.417,41,0
2,7,55,5,164.19,1.456,0.681,70,1
1,5,90,5,230.82,0.0,0.628,7,1
1,7,88,0,339.49,2.641,0.163,38,1
0,6,77,3,283.12,1.805,0.515,82,1
1,2,82,7,93.18,0.642,0.277,45,0
1,7,35,5,497.16,1.313,0.56,9,1
2,9,153,3,388.69,0.0,0.738,53,1
0,0,97,1,246.96,3.363,0.081,28,0
2,0,141,4,328.18,2.512,0.516,19,1
3,9,199,5,89.41,2.132,0.618,68,1
0,7,0,0,272.89,2.765,0.295,4,1
2,8,133,7,468.87,2.132,0.953,13,1
2,9,133,2,453.47,2.755,0.52,92,1
1,5,143,2,201.82,1.576,0.183,11,0
2,4,165,6,289.12,3.435,0.108,117,1
0,1,182,1,363.82,2.957,0.542,2,0
3,0,105,2,203.0,1.655,0.375,70,0
3,5,186,1,79.2,3.407,0.193,12,0
0,7,148,7,277.45,2.206,0.031,119,1
1,8,184,4,320.74,1.111,0.567,104,1
2,8,40,6,52.63,0.772,0.599,37,1
1,7,20,1,93.01,2.949,0.142,56,1
2,9,151,3,143.28,3.528,0.602,88,1
0,7,77,3,206.62,3.326,0.952,52,1
1,2,20,6,293.47,2.795,0.978,119,1
3,2,160,7,182.23,0.995,0.888,73,0
2,1,193,7,174.28,0.829,0.807,90,0
3,0,194,3,441.21,1.708,0.209,4,0
1,3,26,5,115.27,3.492,0.156,105,1
0,1,70,3,272.96,3.866,0.445,108,1
2,1,22,3,478.77,1.345,0.62,4,0
1,4,197,7,331.26,3.167,0.851,49,1
1,3,173,3,372.74,2.509,0.232,52,0
0,0,50,3,0.0,0.611,0.48,34,0
2,8,119,5,58.97,2.4,0.647,22,1
1,3,81,3,340.76,3.321,0.446,13,0
6,4,173,3,334.37,1.466,0.454,63,0
3,6,127,4,99.69,3.641,0.225,15,1
0,1,74,7,257.97,1.327,0.987,40,1
2,7,0,7,461.9,0.768,0.475,38,1
1,1,63,5,142.29,1.06,0.533,105,1
2,9,100,3,257.49,3.43,0.219,118,1
3,0,185,1,257.5,1.961,0.514,107,0
2,1,49,6,0.0,3.289,0.255,55,1
2,1,85,7,421.06,2.359,0.202,44,0
2,3,155,4,391.67,2.182,0.276,117,0
0,0,33,5,214.45,3.324,0.003,66,1
1,7,120,2,82.42,0.0,0.57,66,0
0,5,125,0,207.27,3.307,0.387,43,0
2,9,122,5,355.91,0.852,0.899,72,1
2,7,81,6,0.0,2.727,0.041,38,1
1,6,94,4,0.0,2.959,0.043,82,1
0,9,98,3,254.14,3.647,0.886,118,1
0,3,126,4,334.6,1.285,0.127,29,0
0,1,115,0,292.64,2.615,0.002,75,0
4,8,59,0,117.78,2.016,0.179,56,1
1,0,160,5,257.54,1.84,0.824,6,0
1,0,0,3,295.18,0.873,0.803,9,0
1,7,36,3,477.84,0.97,0.34,22,1
3,9,34,1,214.94,3.429,0.668,46,1
3,8,180,0,491.04,3.124,0.507,115,1
3,0,35,3,294.04,1.838,0.905,89,0
1,6,32,0,159.11,3.4,0.056,31,1
1,1,0,7,0.0,0.783,0.813,21,0
5,5,55,1,113.76,2.687,0.171,38,1
1,4,62,2,253.82,3.539,0.392,52,1
1,0,197,0,59.87,3.436,0.192,19,0
1,1,133,7,250.27,1.805,0.703,10,0
0,1,93,7,494.78,3.108,0.678,46,1
0,9,100,7,351.55,1.996,0.548,101,1
0,9,113,1,391.9,3.44,0.698,76,1
3,5,160,1,103.55,2.358,0.64,83,0
0,0,49,6,0.0,3.177,0.776,66,1
0,3,49,1,178.8,0.775,0.239,79,0
0,9,29,4,452.34,2.565,0.429,38,1
1,4,118,5,131.58,2.426,0.152,62,0
1,1,113,3,256.43,2.635,0.43,72,0
0,1,58,0,314.62,2.935,0.702,46,1
2,6,56,5,281.32,3.713,0.691,35,1
0,0,150,4,423.61,3.25,0.709,102,1
1,5,0,0,154.15,0.0,0.309,43,0
0,0,181,5,219.83,3.391,0.662,30,1
3,2,185,4,406.44,0.927,0.367,73,0
2,8,33,7,287.63,2.678,0.944,63,1
1,9,58,3,230.95,3.59,0.343,30,1
1,0,149,1,63.25,0.854,0.603,113,0
3,1,62,5,389.02,3.474,0.75,83,1
1,7,150,7,487.48,3.295,0.906,29,1
1,6,188,5,329.13,2.263,0.438,66,1
1,8,27,7,435.44,1.581,0.36,92,1
2,9,115,0,0.0,1.919,0.43,72,0
1,3,84,1,154.26,3.89,0.324,89,0
0,3,98,6,56.5,1.206,0.654,74,0
1,6,151,3,344.03,2.529,0.933,22,1
2,0,87,7,271.9,0.791,0.126,35,0
1,9,111,0,401.94,1.263,0.561,42,0
0,8,29,2,362.61,3.172,0.898,24,1
5,1,94,0,494.58,1.559,0.1,26,0
2,0,197,2,279.64,3.95,0.494,31,0
0,6,170,3,242.23,2.253,0.865,87,0
3,5,80,7,179.03,2.308,0.9,2,0
3,2,66,2,264.59,0.627,0.514,39,0
0,0,22,5,442.79,3.848,0.025,97,1
2,4,122,6,69.1,1.11,0.106,88,0
1,9,36,0,490.06,0.0,0.587,12,1
1,3,41,6,496.99,1.885,0.124,101,1
2,4,135,6,319.02,1.955,0.149,73,0
2,0,110,6,199.19,2.752,0.772,44,1
0,0,163,5,150.37,2.817,0.751,43,1
1,4,123,2,174.42,1.04,0.843,108,0
0,5,22,6,72.55,2.249,0.106,67,1
1,4,71,7,263.8,3.267,0.198,108,1
3,1,130,6,75.8,2.052,0.833,87,0
0,8,180,0,373.31,1.08,0.721,88,0
2,4,61,7,217.37,1.596,0.806,97,1
3,4,149,5,139.71,1.243,0.99,94,0
4,9,58,3,0.0,0.94,0.864,38,1
1,8,65,1,488.19,1.822,0.52,107,1
3,2,67,5,362.81,2.393,0.311,66,1
0,4,46,4,271.29,0.755,0.57,40,1
5,0,34,2,399.61,2.613,0.639,22,1
3,1,26,4,381.86,3.976,0.335,75,1
2,3,128,7,451.28,3.874,0.771,63,1
0,1,61,1,142.1,3.402,0.093,59,1
1,4,28,3,436.49,1.432,0.779,76,0
0,9,124,5,185.46,0.578,0.032,19,1
2,1,153,3,473.45,3.417,0.498,20,0
0,9,95,1,176.48,0.695,0.861,119,0
0,8,49,4,467.08,1.22,0.086,73,1
2,9,103,5,483.71,2.406,0.518,43,1
2,5,145,2,115.47,1.124,0.159,58,0
1,7,103,0,488.52,3.418,0.895,82,1
2,8,0,6,88.58,0.0,0.832,105,1
1,7,129,3,148.36,3.145,0.934,111,1
1,4,46,7,249.88,3.356,0.875,54,1
1,4,103,1,497.12,1.269,0.737,82,0
4,5,26,5,269.85,3.051,0.185,40,1
0,0,187,7,297.68,1.743,0.303,100,0
2,7,123,4,362.49,2.834,0.497,27,1
0,1,91,2,485.73,0.927,0.589,13,0
1,5,21,7,402.51,2.97,0.782,47,1
1,8,161,4,150.87,3.902,0.227,72,1
1,2,157,2,186.35,0.653,0.128,112,0
1,1,69,5,93.93,0.828,0.483,107,1
5,9,165,0,340.0,0.933,0.158,23,0
1,4,37,0,131.33,2.007,0.694,119,0
1,8,0,7,165.83,1.518,0.576,59,1
0,5,71,6,449.65,3.324,0.741,77,1
3,7,199,7,197.04,2.158,0.063,7,1
2,7,178,1,304.99,2.196,0.965,50,0
0,0,103,1,0.0,3.01,0.0,104,1
1,4,170,2,83.31,1.767,0.325,66,0
0,1,115,2,213.29,1.736,0.68,3,0
2,0,61,2,233.63,3.149,0.045,106,1
1,9,132,7,453.07,3.23,0.083,39,1
1,4,197,2,196.0,0.55,0.077,87,0
3,6,143,6,220.66,1.003,0.582,7,1
3,6,34,7,402.3,1.246,0.896,68,1
4,0,109,5,391.53,1.731,0.555,117,0
2,6,191,5,409.23,1.52,0.604,55,1
1,5,61,0,479.2,2.84,0.346,8,1
3,6,64,1,408.0,3.398,0.019,32,1
0,7,113,6,233.42,1.172,0.022,19,1
5,3,126,1,419.68,2.47,0.888,118,0
0,0,182,3,278.9,1.787,0.103,12,0
2,7,41,1,174.97,2.27,1.0,57,1
2,7,147,1,186.31,2.673,0.164,10,1
3,2,57,4,150.73,3.628,0.675,78,1
1,2,116,4,115.25,1.173,0.949,91,0
2,4,120,6,133.02,0.805,0.362,108,0
2,2,26,3,78.43,2.695,0.734,21,1
1,4,63,2,449.8,1.879,0.351,20,0
0,7,95,3,468.95,1.07,0.305,4,0
5,0,0,0,314.05,0.91,0.202,19,0
2,1,79,0,428.22,2.456,0.821,29,0
0,1,20,5,132.61,1.552,0.257,71,1
1,3,81,1,455.75,3.991,0.283,64,0
3,8,106,0,277.86,1.921,0.999,117,0
0,1,0,6,80.22,1.243,0.327,97,0
0,8,37,5,113.59,2.701,0.423,72,1
1,6,127,6,189.04,1.355,0.99,11,1
4,9,154,1,69.6,2.229,0.369,33,0
2,7,134,6,189.18,2.189,0.366,25,1
1,0,73,3,76.97,2.087,0.828,33,0
2,4,86,7,156.21,3.286,0.312,100,1
4,8,112,1,169.55,1.258,0.234,26,0
0,3,157,2,497.47,3.665,0.423,36,0
1,1,78,2,156.0,3.27,0.701,11,1
4,5,88,3,157.63,1.666,0.043,30,0
1,1,117,6,359.06,1.132,0.374,57,0
0,2,27,0,436.71,1.478,0.346,97,1
1,7,74,2,224.17,1.664,0.245,10,1
1,2,153,3,444.03,2.449,0.654,93,0
0,1,148,0,0.0,0.662,0.29,25,0
0,5,75,4,138.66,3.7,0.607,96,1
4,2,123,2,198.34,0.845,0.504,68,0
2,0,133,7,0.0,1.477,0.217,119,0
1,0,107,3,215.21,0.883,0.267,57,0
1,5,157,3,352.8,1.398,0.171,103,0
1,2,127,0,156.62,0.0,0.057,34,0
0,8,42,7,365.45,2.653,0.619,86,1
1,0,163,0,206.35,1.296,0.673,77,0
2,4,120,4,255.14,3.551,0.166,54,1
0,1,163,5,300.99,3.302,0.615,51,1
1,0,75,2,358.8,3.138,0.982,100,1
2,4,127,3,157.42,3.467,0.074,6,0
2,6,0,4,426.18,2.669,0.49,59,1
1,8,25,6,374.83,2.255,0.733,54,1
1,3,49,4,155.34,1.809,0.046,17,1
1,8,148,6,488.74,0.0,0.778,26,1
1,0,70,0,349.16,2.451,0.98,88,0
1,5,125,3,253.59,3.613,0.088,9,0
3,1,108,1,120.89,2.579,0.822,2,0
2,7,146,5,289.95,3.719,0.379,20,1
4,4,65,5,124.15,1.749,0.144,91,1
2,2,140,0,243.27,2.933,0.493,6,0
2,1,168,6,233.92,2.77,0.072,114,1
2,7,0,3,373.97,2.847,0.522,91,1
2,6,185,7,136.57,2.758,0.019,119,1
0,0,88,4,419.84,1.276,0.729,118,1
1,0,82,5,196.76,1.003,0.488,88,1
2,3,69,4,249.79,3.925,0.459,79,1
1,0,31,2,397.55,0.659,0.196,55,0
1,1,88,1,331.43,2.137,0.361,48,0
1,1,0,0,188.61,1.988,0.182,58,0
1,0,63,6,223.79,1.76,0.735,97,1
1,6,71,5,187.6,3.237,0.199,42,1
0,5,28,7,317.65,3.109,0.617,74,1
2,1,137,2,199.68,3.668,0.28,21,0
2,3,29,7,376.56,1.884,0.657,6,1
2,2,65,2,310.9,0.0,0.54,30,0
0,0,122,1,115.57,3.623,0.423,23,0
3,4,56,0,189.62,3.978,0.673,36,1
1,6,71,0,149.65,3.893,0.416,110,1
0,8,118,4,225.64,3.012,0.821,113,1
1,1,100,0,282.19,1.001,0.73,3,0
1,0,32,2,278.04,0.581,0.541,90,1
4,2,153,4,389.54,3.388,0.877,34,1
1,8,120,0,135.13,3.443,0.829,30,1
0,9,147,6,475.91,3.112,0.532,82,1
2,3,67,6,204.28,1.48,0.068,81,1
1,2,0,1,185.11,2.739,0.566,109,0
1,9,30,2,358.33,1.607,0.355,115,1
1,5,100,3,412.48,2.077,0.54,42,0
1,9,24,1,220.31,1.839,0.647,21,1
1,8,25,1,386.08,3.698,0.645,118,1
3,6,136,0,447.68,1.32,0.674,88,0
1,0,168,4,0.0,2.522,0.679,4,1
0,2,61,7,65.39,1.763,0.109,49,1
0,9,100,4,422.32,2.821,0.192,48,1
1,3,174,6,398.52,2.476,0.631,89,0
3,2,22,2,351.18,3.734,0.408,51,1
0,2,79,0,392.01,0.856,0.763,24,0
0,8,112,4,490.74,0.0,0.125,46,1
2,3,68,6,244.0,3.182,0.192,116,1
0,8,53,5,80.25,1.791,0.558,27,1
0,9,56,7,257.4,1.08,0.501,95,1
1,4,61,3,70.9,2.262,0.266,111,0
0,6,20,0,182.41,2.782,0.408,51,1
1,4,151,7,314.1,0.657,0.035,99,0
1,0,0,0,189.33,1.521,0.037,116,0
0,1,0,0,358.43,3.333,0.095,20,0
2,4,129,4,419.89,2.321,0.577,80,0
1,5,165,7,239.2,0.624,0.864,95,0
1,6,53,1,455.06,1.487,0.26,71,1
3,1,20,0,85.93,2.737,0.034,18,1
0,9,72,1,428.05,1.198,0.709,8,1
0,8,41,2,422.86,3.396,0.855,27,1
3,5,169,6,194.9,2.868,0.138,14,1
1,1,197,2,184.42,2.15,0.386,18,0
3,1,35,7,187.29,0.0,0.159,65,1
2,2,175,7,415.13,1.871,0.106,31,0
4,0,138,4,424.24,1.323,0.648,20,0
2,8,0,2,198.38,2.815,0.968,70,1
4,9,61,5,316.67,2.507,0.678,45,1
1,3,90,7,112.52,1.673,0.985,1,0
1,4,136,5,260.95,1.703,0.434,19,0
3,6,182,5,499.46,1.894,0.898,39,1
2,0,39,4,121.48,1.519,0.205,119,1
0,2,127,4,476.4,2.986,0.118,27,1
0,2,149,5,420.91,0.0,0.703,56,1
1,1,26,0,487.5,2.043,0.371,16,0
2,7,196,5,130.81,1.892,0.318,78,1
1,4,28,1,146.08,1.778,0.671,98,0
3,0,46,2,57.59,1.492,0.333,7,0
3,1,149,1,376.12,0.8,0.573,20,0
0,0,0,7,339.84,1.439,0.299,31,0
0,5,79,0,130.13,1.624,0.784,86,0
2,8,131,3,406.02,2.417,0.312,84,0
4,6,105,0,184.64,3.208,0.535,79,1
1,0,196,0,110.75,1.885,0.023,25,0
0,2,149,4,240.15,3.807,0.792,110,1
1,7,164,3,90.94,3.396,0.62,1,1
1,9,102,4,168.46,3.947,0.192,17,1
2,3,123,1,217.1,3.567,0.215,80,0
1,8,107,5,433.34,2.659,0.262,101,1
2,4,39,6,406.65,2.595,0.577,85,1
0,5,145,6,249.24,0.953,0.548,27,0
2,4,117,6,376.06,3.028,0.274,119,1
4,9,179,1,305.89,2.601,0.694,99,1
3,6,70,3,203.38,2.274,0.889,24,1
0,6,107,2,376.64,2.927,0.044,62,1
2,0,189,1,357.57,2.054,0.417,52,0
2,0,82,0,328.59,2.334,0.594,51,0
1,6,108,3,328.08,1.894,0.586,66,0
0,7,150,3,357.34,3.011,0.02,57,1
2,3,108,1,0.0,3.568,0.211,110,0
2,5,111,1,0.0,3.443,0.062,55,0
0,0,95,4,123.04,3.251,0.569,53,1
1,2,45,0,447.75,0.548,0.645,89,1
3,6,195,0,204.03,3.692,0.16,19,1
2,2,127,7,106.26,1.462,0.333,109,0
0,6,27,3,320.01,3.608,0.33,13,1
0,7,0,6,219.19,0.0,0.82,29,1
2,2,158,2,416.97,2.039,0.195,96,0
1,1,61,2,243.85,3.123,0.548,6,1
1,5,138,3,350.85,2.741,0.783,73,0
3,3,0,0,188.72,1.956,0.83,116,0
2,7,127,6,144.25,2.875,0.667,1,1
0,1,166,4,224.62,2.421,0.3,24,0
0,3,195,4,323.06,1.465,0.823,74,0
2,1,139,4,345.63,2.762,0.742,99,1
0,1,179,2,310.19,1.215,0.704,6,0
3,1,65,2,494.63,2.929,0.067,48,1
1,0,111,0,360.99,0.511,0.043,20,0
1,3,183,2,469.18,2.421,0.695,102,0
3,1,165,1,103.07,1.904,0.945,76,0
1,8,93,2,77.62,1.561,0.774,67,0
0,8,115,4,189.95,2.305,0.831,55,1
4,0,37,0,111.47,2.759,0.545,18,1
1,5,159,3,286.64,3.879,0.305,21,0
3,2,134,3,283.54,3.416,0.678,99,0
1,6,91,0,308.77,3.01,0.712,64,1
3,0,65,1,385.35,2.176,0.675,37,0
1,8,57,3,487.1,1.873,0.947,19,1
0,3,149,4,445.22,0.614,0.367,89,0
1,5,0,3,103.27,1.757,0.04,56,0
2,5,127,3,202.33,3.469,0.908,62,0
1,2,152,4,165.12,1.844,0.16,18,0
0,3,117,2,129.57,2.116,0.697,104,0
1,9,38,1,295.13,1.451,0.873,30,1
1,0,90,6,298.97,1.459,0.31,56,0
2,5,58,4,152.26,0.717,0.83,106,1
3,0,61,4,370.35,2.648,0.332,115,1
5,7,164,5,379.81,2.068,0.794,42,1
3,7,109,0,59.44,2.621,0.07,53,1
2,8,193,7,228.09,2.414,0.655,98,1
3,5,126,1,450.56,3.296,0.677,74,0
2,0,167,2,284.14,3.129,0.491,86,0
2,2,155,5,206.43,0.0,0.687,50,1
1,0,115,6,164.15,2.247,0.923,4,0
1,4,166,4,159.51,1.739,0.734,63,0
1,2,51,6,94.9,3.767,0.961,67,1
4,1,145,6,417.75,0.69,0.449,113,0
3,2,166,6,89.0,1.034,0.528,56,0
1,8,43,5,181.53,0.0,0.264,49,1
1,7,43,7,70.55,2.649,0.986,92,1
3,2,139,2,401.62,0.529,0.055,22,0
1,1,37,5,67.68,3.018,0.359,12,1
1,4,159,5,188.74,2.456,0.298,49,0
1,0,60,7,307.98,2.196,0.387,13,1
1,3,106,5,234.3,1.982,0.918,105,0
0,7,195,4,177.02,2.318,0.368,33,1
3,0,101,4,173.84,1.066,0.917,47,0
1,4,163,0,409.01,0.88,0.423,64,0
0,3,170,3,488.29,1.514,0.855,83,0
2,5,186,1,206.62,2.983,0.522,105,0
1,6,52,0,67.62,2.559,0.311,17,1
2,8,0,2,66.45,2.18,0.449,111,1
1,0,0,5,391.65,2.5,0.424,34,0
2,9,74,4,298.57,2.457,0.26,68,1
0,3,103,5,402.62,1.575,0.29,39,0
2,5,187,4,363.87,0.841,0.186,72,0
1,9,138,6,458.38,3.639,0.336,97,1
2,6,91,1,448.62,2.6,0.624,1,1
3,6,93,0,404.75,2.942,0.387,5,1
1,7,148,0,263.84,2.124,0.712,96,0
2,9,104,2,188.66,3.148,0.987,40,1
1,7,172,6,278.16,2.546,0.377,63,1
3,7,115,0,275.93,0.688,0.463,1,0
1,7,72,0,0.0,3.615,0.164,35,1
1,7,193,3,133.74,0.0,0.392,86,0
1,5,129,7,345.03,0.983,0.727,93,0
1,8,79,1,255.47,0.808,0.217,17,1
0,2,70,0,329.09,3.022,0.182,94,1
1,5,140,7,157.82,2.964,0.376,99,1
1,4,92,0,245.48,2.951,0.819,60,0
1,7,195,2,0.0,3.705,0.624,1,1
1,3,187,5,443.89,1.721,0.958,4,0
3,3,26,4,269.58,2.464,0.905,9,1
0,9,94,6,151.24,2.668,0.151,45,1
1,9,38,6,68.54,0.0,0.043,32,1
2,4,162,0,354.08,1.593,0.399,69,0
0,5,89,0,146.59,3.847,0.522,14,0
2,3,75,5,495.31,1.021,0.516,51,1
1,1,157,0,290.17,3.174,0.134,90,1
3,1,193,4,180.04,2.715,0.125,23,1
1,2,99,0,345.95,3.359,0.047,46,0
4,1,128,1,173.85,0.6,0.851,86,0
0,0,0,3,419.12,0.773,0.948,27,0
2,7,91,7,188.71,0.744,0.116,89,1
1,4,111,2,494.71,2.575,0.213,36,0
1,9,22,5,322.32,2.61,0.09,68,1
6,0,85,0,429.99,3.671,0.878,32,0
2,8,71,3,82.77,2.137,0.959,73,1
1,7,112,1,0.0,0.738,0.262,66,0
2,3,66,2,381.87,1.233,0.304,42,0
5,7,22,6,344.78,0.528,0.363,50,1
1,9,162,7,137.41,3.219,0.502,57,1
3,6,103,3,210.29,3.355,0.682,103,1
1,6,53,0,168.55,3.993,0.504,117,1
1,0,69,1,326.02,1.943,0.951,64,0
0,5,52,0,205.06,0.0,0.1,46,0
3,3,0,0,189.07,1.322,0.799,117,0
3,9,22,2,143.32,2.557,0.334,89,1
2,9,21,1,234.06,3.867,0.378,111,1
1,9,151,4,137.98,0.863,0.709,74,1
1,1,35,6,483.16,0.0,0.929,101,1
2,9,52,7,119.53,2.956,0.716,89,1
0,6,28,0,460.99,2.835,0.776,104,1
0,8,0,7,242.81,1.377,0.751,54,1
2,4,59,1,220.04,3.346,0.321,53,1
2,7,0,0,154.09,0.951,0.757,29,1
2,4,35,3,336.09,3.74,0.785,37,1
0,6,155,3,358.49,1.204,0.533,69,0
0,6,106,1,260.41,0.785,0.537,14,0
1,8,79,6,75.07,1.688,0.76,97,1
2,2,183,2,463.33,1.157,0.817,27,0
0,0,22,4,491.15,2.344,0.337,5,1
1,1,34,3,243.97,2.904,0.802,115,1
1,5,121,2,326.15,2.218,0.814,118,0
3,9,42,4,252.63,2.812,0.234,44,1
0,9,150,3,194.85,1.777,0.717,15,0
0,8,177,4,84.79,0.598,0.187,67,1
1,2,192,5,255.23,3.909,0.093,1,1
2,9,36,0,418.27,3.368,0.575,24,1
1,1,133,0,57.66,0.757,0.909,76,0
4,0,77,3,311.95,2.072,0.035,109,0
2,0,129,3,446.35,2.723,0.827,62,0
0,2,154,7,147.9,1.167,0.506,78,0
1,6,186,0,132.47,2.523,0.861,57,1
3,1,97,3,397.52,2.368,0.843,106,0
2,4,162,3,164.79,1.229,0.875,20,0
1,1,63,5,136.39,0.994,0.769,58,1
0,6,31,3,220.1,3.156,0.843,14,1
0,9,27,3,0.0,1.629,0.176,78,1
3,7,99,3,443.35,1.354,0.304,109,0
3,7,60,2,328.3,3.083,0.242,53,1
0,7,181,3,232.68,3.076,0.742,35,1
2,9,65,0,290.47,1.467,0.154,62,1
0,8,48,5,479.28,3.554,0.182,61,1
4,0,35,3,100.95,2.909,0.879,19,1
0,0,152,4,143.47,1.71,0.706,84,0
1,0,24,5,483.14,1.996,0.875,42,1
2,1,49,5,480.8,3.043,0.139,44,1
0,5,136,4,129.72,1.241,0.399,87,0
1,0,197,0,115.3,2.141,0.283,98,0
0,4,24,0,239.49,2.787,0.01,1,1
3,4,160,6,72.37,2.388,0.285,68,0
3,3,68,7,344.71,2.629,0.38,104,1
1,4,108,6,84.87,2.412,0.092,81,0
2,0,69,0,76.11,1.197,0.566,90,0
0,5,33,0,268.33,1.936,0.383,78,0
1,6,127,1,481.0,2.362,0.046,46,0
3,7,65,4,242.06,0.0,0.704,51,1
3,1,101,7,210.42,2.789,0.729,32,1
0,6,145,5,0.0,1.993,0.834,100,1
0,5,103,5,289.39,3.91,0.486,84,1
1,8,53,5,218.86,0.877,0.969,80,1
2,7,90,4,223.64,1.224,0.914,115,1
0,3,194,4,137.73,1.695,0.551,19,0
1,8,79,7,280.5,1.3,0.445,109,1
2,0,93,6,247.48,2.689,0.003,39,1
0,5,100,6,171.86,0.638,0.711,88,0
0,7,158,6,122.24,1.121,0.565,14,1
0,3,117,2,190.06,1.527,0.938,29,0
2,1,110,5,278.91,2.892,0.594,42,1
2,1,114,0,76.25,3.566,0.993,14,0
2,9,197,2,119.18,3.295,0.854,116,1
1,0,151,5,476.45,1.137,0.954,11,0
4,4,188,4,294.28,2.479,0.328,75,0
2,5,79,4,78.55,0.605,0.149,47,1
2,3,0,4,361.89,1.587,0.797,104,0
1,3,100,5,77.81,3.321,0.786,24,1
1,4,103,6,382.49,2.098,0.211,22,0
2,4,44,4,387.48,1.025,0.765,49,1
2,0,52,1,342.99,2.035,0.582,55,1
1,7,38,4,379.49,1.193,0.11,55,1
2,8,76,7,89.58,1.876,0.502,85,1
2,2,34,0,377.05,2.207,0.931,70,1
0,2,60,5,111.51,1.723,0.506,78,1
1,0,79,6,202.78,3.779,0.789,73,1
0,9,128,2,474.24,2.469,0.029,35,0
3,0,115,4,276.29,3.45,0.728,44,1
1,3,0,6,485.34,3.163,0.947,36,1
2,7,190,6,90.02,2.814,0.5,89,1
2,1,179,3,264.9,2.239,0.338,15,0
0,1,160,1,78.08,0.508,0.647,45,0
4,6,185,7,333.59,2.647,0.916,62,1
2,4,45,5,85.42,1.746,0.177,92,1
1,0,152,4,128.92,0.912,0.404,50,0
0,6,144,3,166.47,2.056,0.156,78,0
1,6,196,5,386.93,0.0,0.497,13,1
1,9,116,2,123.78,3.866,0.54,105,1
0,5,152,1,430.98,1.809,0.944,31,0
3,3,90,6,109.36,2.4,0.413,5,0
2,7,0,4,65.86,3.479,0.567,83,1
0,1,37,2,227.77,1.669,0.885,8,0
2,1,0,5,490.75,0.998,0.321,13,0
1,1,153,3,99.65,1.487,0.674,41,0
0,2,85,5,95.77,3.647,0.757,17,1
2,5,146,7,388.02,1.058,0.331,32,0
4,0,61,5,190.47,1.652,0.164,5,1
3,1,136,1,0.0,2.126,0.503,9,0
2,9,199,4,140.0,0.0,0.357,107,1
2,1,30,2,257.03,0.0,0.266,34,1
1,0,45,1,169.38,1.99,0.973,109,0
1,2,168,3,0.0,3.762,0.502,1,0
3,9,187,6,396.09,1.065,0.856,40,1
2,6,75,4,392.9,1.049,0.195,79,1
1,0,137,6,282.1,3.822,0.939,54,1
2,6,198,1,467.77,2.284,0.794,32,0
2,4,167,3,168.7,1.151,0.809,98,0
0,8,76,3,158.14,2.208,0.39,99,1
2,1,24,2,326.21,3.241,0.486,117,1
0,0,33,7,329.58,3.394,0.593,113,1
